"icd","icddesc","icdvers","hcc","rxhcc","inhcc","inrxhcc","year"
"03849","Gram-neg septicemia NEC",9,2,,"Yes","No",2011
"0388","Septicemia NEC",9,2,,"Yes","No",2011
"0389","Septicemia NOS",9,2,,"Yes","No",2011
"0391","Pulmonary actinomycosis",9,112,,"Yes","No",2011
"0400","Gas gangrene",9,104,,"Yes","No",2011
"0402","Whipple's disease",9,32,31,"Yes","Yes",2011
"04082","Toxic shock syndrome",9,2,,"Yes","No",2011
"042","Human immuno virus dis",9,1,1,"Yes","Yes",2011
"0460","Kuru",9,,55,"No","Yes",2011
"04611","Varnt Creutzfeldt-Jakob",9,,55,"No","Yes",2011
"04619","Creutzfldt-Jakob NEC/NOS",9,,55,"No","Yes",2011
"0462","Subac scleros panenceph",9,,55,"No","Yes",2011
"0463","Prog multifoc leukoencep",9,,55,"No","Yes",2011
"04671","Gerstmn-Straus-Schnk syn",9,,55,"No","Yes",2011
"04672","Fatal familial insomnia",9,,55,"No","Yes",2011
"04679","Prion dis of CNS NEC/NOS",9,,55,"No","Yes",2011
"0468","Cns slow virus infec NEC",9,,55,"No","Yes",2011
"0469","Cns slow virus infec NOS",9,,55,"No","Yes",2011
"0522","Postvaricella myelitis",9,,72,"No","Yes",2011
"05310","H zoster nerv syst NOS",9,,83,"No","Yes",2011
"05311","Geniculate herpes zoster",9,,83,"No","Yes",2011
"05312","Postherpes trigem neural",9,,83,"No","Yes",2011
"05313","Postherpes polyneuropath",9,,83,"No","Yes",2011
"05314","Herpes zoster myelitis",9,,72,"No","Yes",2011
"05319","H zoster nerv syst NEC",9,,83,"No","Yes",2011
"0545","Herpetic septicemia",9,2,,"Yes","No",2011
"05474","Herpes simplex myelitis",9,,72,"No","Yes",2011
"05671","Arthritis due to rubella",9,37,,"Yes","No",2011
"07022","Hpt B chrn coma wo dlta",9,27,25,"Yes","Yes",2011
"07023","Hpt B chrn coma w dlta",9,27,25,"Yes","Yes",2011
"07032","Hpt B chrn wo cm wo dlta",9,27,25,"Yes","Yes",2011
"07033","Hpt B chrn wo cm w dlta",9,27,25,"Yes","Yes",2011
"07044","Chrnc hpt C w hepat Coma",9,27,25,"Yes","Yes",2011
"07054","Chrnc hpt C wo hpat coma",9,27,25,"Yes","Yes",2011
"0723","Mumps pancreatitis",9,32,,"Yes","No",2011
"0785","Cytomegaloviral disease",9,5,5,"Yes","Yes",2011
"0786","Hem nephrosonephritis",9,132,126,"Yes","Yes",2011
"07953","Hiv-2 infection oth dis",9,1,1,"Yes","Yes",2011
"09487","Syph rupt cereb aneurysm",9,95,,"Yes","No",2011
"09850","Gonococcal arthritis",9,37,,"Yes","No",2011
"09851","Gonococcal synovitis",9,37,,"Yes","No",2011
"09852","Gonococcal bursitis",9,37,,"Yes","No",2011
"09853","Gonococcal spondylitis",9,37,,"Yes","No",2011
"09859","Gc infect joint NEC",9,37,,"Yes","No",2011
"09886","Gonococcal peritonitis",9,31,,"Yes","No",2011
"0993","Reiter's disease",9,,41,"No","Yes",2011
"1026","Yaws of bone & joint",9,37,,"Yes","No",2011
"1124","Candidiasis of lung",9,5,5,"Yes","Yes",2011
"1125","Disseminated candidiasis",9,5,5,"Yes","Yes",2011
"11284","Candidal esophagitis",9,5,5,"Yes","Yes",2011
"1140","Primary coccidioidomycos",9,112,106,"Yes","Yes",2011
"1144","Ch pl coccidioidomycosis",9,112,106,"Yes","Yes",2011
"1145","Pl cocidioidomycosis NOS",9,112,106,"Yes","Yes",2011
"11505","Histoplasm caps pneumon",9,112,106,"Yes","Yes",2011
"11515","Histoplasm dub pneumonia",9,112,106,"Yes","Yes",2011
"11595","Histoplasmosis pneumonia",9,112,106,"Yes","Yes",2011
"1173","Aspergillosis",9,5,5,"Yes","Yes",2011
"1175","Cryptococcosis",9,5,5,"Yes","Yes",2011
"1177","Zygomycosis",9,5,5,"Yes","Yes",2011
"118","Opportunistic mycoses",9,,5,"No","Yes",2011
"1212","Paragonimiasis",9,112,106,"Yes","Yes",2011
"1221","Echinococc granul lung",9,112,106,"Yes","Yes",2011
"1300","Toxoplasm meningoenceph",9,5,5,"Yes","Yes",2011
"1304","Toxoplasma pneumonitis",9,112,5,"Yes","Yes",2011
"1308","Multisystem toxoplasmos",9,5,5,"Yes","Yes",2011
"1361","Behcet's syndrome",9,38,41,"Yes","Yes",2011
"1363","Pneumocystosis",9,5,5,"Yes","Yes",2011
"1410","Mal neo tongue base",9,9,,"Yes","No",2011
"1411","Mal neo dorsal tongue",9,9,,"Yes","No",2011
"1412","Mal neo tip/lat tongue",9,9,,"Yes","No",2011
"1413","Mal neo ventral tongue",9,9,,"Yes","No",2011
"1414","Mal neo ant 2/3 tongue",9,9,,"Yes","No",2011
"1415","Mal neo tongue junction",9,9,,"Yes","No",2011
"1416","Mal neo lingual tonsil",9,9,,"Yes","No",2011
"1418","Malig neo tongue NEC",9,9,,"Yes","No",2011
"1419","Malig neo tongue NOS",9,9,,"Yes","No",2011
"1420","Malig neo parotid",9,9,,"Yes","No",2011
"1421","Malig neo submandibular",9,9,,"Yes","No",2011
"1422","Malig neo sublingual",9,9,,"Yes","No",2011
"1428","Mal neo maj salivary NEC",9,9,,"Yes","No",2011
"1429","Mal neo salivary NOS",9,9,,"Yes","No",2011
"1430","Malig neo upper gum",9,9,,"Yes","No",2011
"1431","Malig neo lower gum",9,9,,"Yes","No",2011
"1438","Malig neo gum NEC",9,9,,"Yes","No",2011
"1439","Malig neo gum NOS",9,9,,"Yes","No",2011
"1440","Mal neo ant floor mouth",9,9,,"Yes","No",2011
"1441","Mal neo lat floor mouth",9,9,,"Yes","No",2011
"1448","Mal neo mouth floor NEC",9,9,,"Yes","No",2011
"1449","Mal neo mouth floor NOS",9,9,,"Yes","No",2011
"1450","Mal neo cheek mucosa",9,9,,"Yes","No",2011
"1451","Mal neo mouth vestibule",9,9,,"Yes","No",2011
"1452","Malig neo hard palate",9,9,,"Yes","No",2011
"1453","Malig neo soft palate",9,9,,"Yes","No",2011
"1454","Malignant neoplasm uvula",9,9,,"Yes","No",2011
"1455","Malignant neo palate NOS",9,9,,"Yes","No",2011
"1456","Malig neo retromolar",9,9,,"Yes","No",2011
"1458","Malig neoplasm mouth NEC",9,9,,"Yes","No",2011
"1459","Malig neoplasm mouth NOS",9,9,,"Yes","No",2011
"1460","Malignant neopl tonsil",9,9,,"Yes","No",2011
"1461","Mal neo tonsillar fossa",9,9,,"Yes","No",2011
"1462","Mal neo tonsil pillars",9,9,,"Yes","No",2011
"1463","Malign neopl vallecula",9,9,,"Yes","No",2011
"1464","Mal neo ant epiglottis",9,9,,"Yes","No",2011
"1465","Mal neo epiglottis junct",9,9,,"Yes","No",2011
"1466","Mal neo lat oropharynx",9,9,,"Yes","No",2011
"1467","Mal neo post oropharynx",9,9,,"Yes","No",2011
"1468","Mal neo oropharynx NEC",9,9,,"Yes","No",2011
"1469","Malig neo oropharynx NOS",9,9,,"Yes","No",2011
"1470","Mal neo super nasopharyn",9,9,,"Yes","No",2011
"1471","Mal neo post nasopharynx",9,9,,"Yes","No",2011
"1472","Mal neo lat nasopharynx",9,9,,"Yes","No",2011
"1473","Mal neo ant nasopharynx",9,9,,"Yes","No",2011
"1478","Mal neo nasopharynx NEC",9,9,,"Yes","No",2011
"1479","Mal neo nasopharynx NOS",9,9,,"Yes","No",2011
"1480","Mal neo postcricoid",9,9,,"Yes","No",2011
"1481","Mal neo pyriform sinus",9,9,,"Yes","No",2011
"1482","Mal neo aryepiglott fold",9,9,,"Yes","No",2011
"1483","Mal neo post hypopharynx",9,9,,"Yes","No",2011
"1488","Mal neo hypopharynx NEC",9,9,,"Yes","No",2011
"1489","Mal neo hypopharynx NOS",9,9,,"Yes","No",2011
"1490","Mal neo pharynx NOS",9,9,,"Yes","No",2011
"1491","Mal neo waldeyer's ring",9,9,,"Yes","No",2011
"1498","Mal neo oral/pharynx NEC",9,9,,"Yes","No",2011
"1499","Mal neo orophryn ill-def",9,9,,"Yes","No",2011
"1500","Mal neo cervical esophag",9,8,,"Yes","No",2011
"1501","Mal neo thoracic esophag",9,8,,"Yes","No",2011
"1502","Mal neo abdomin esophag",9,8,,"Yes","No",2011
"1503","Mal neo upper 3rd esoph",9,8,,"Yes","No",2011
"1504","Mal neo middle 3rd esoph",9,8,,"Yes","No",2011
"1505","Mal neo lower 3rd esoph",9,8,,"Yes","No",2011
"1508","Mal neo esophagus NEC",9,8,,"Yes","No",2011
"1509","Mal neo esophagus NOS",9,8,,"Yes","No",2011
"1510","Mal neo stomach cardia",9,8,10,"Yes","Yes",2011
"1511","Malignant neo pylorus",9,8,10,"Yes","Yes",2011
"1512","Mal neo pyloric antrum",9,8,10,"Yes","Yes",2011
"1513","Mal neo stomach fundus",9,8,10,"Yes","Yes",2011
"1514","Mal neo stomach body",9,8,10,"Yes","Yes",2011
"1515","Mal neo stom lesser curv",9,8,10,"Yes","Yes",2011
"1516","Mal neo stom great curv",9,8,10,"Yes","Yes",2011
"1518","Malig neopl stomach NEC",9,8,10,"Yes","Yes",2011
"1519","Malig neopl stomach NOS",9,8,10,"Yes","Yes",2011
"1520","Malignant neopl duodenum",9,8,11,"Yes","Yes",2011
"1521","Malignant neopl jejunum",9,8,11,"Yes","Yes",2011
"1522","Malignant neoplasm ileum",9,8,11,"Yes","Yes",2011
"1523","Mal neo meckel's divert",9,8,11,"Yes","Yes",2011
"1528","Mal neo small bowel NEC",9,8,11,"Yes","Yes",2011
"1529","Mal neo small bowel NOS",9,8,11,"Yes","Yes",2011
"1530","Mal neo hepatic flexure",9,10,,"Yes","No",2011
"1531","Mal neo transverse colon",9,10,,"Yes","No",2011
"1532","Mal neo descend colon",9,10,,"Yes","No",2011
"1533","Mal neo sigmoid colon",9,10,,"Yes","No",2011
"1534","Malignant neoplasm cecum",9,10,,"Yes","No",2011
"1535","Malignant neo appendix",9,10,,"Yes","No",2011
"1536","Malig neo ascend colon",9,10,,"Yes","No",2011
"1537","Mal neo splenic flexure",9,10,,"Yes","No",2011
"1538","Malignant neo colon NEC",9,10,,"Yes","No",2011
"1539","Malignant neo colon NOS",9,10,,"Yes","No",2011
"1540","Mal neo rectosigmoid jct",9,10,,"Yes","No",2011
"1541","Malignant neopl rectum",9,10,,"Yes","No",2011
"1542","Malig neopl anal canal",9,10,,"Yes","No",2011
"1543","Malignant neo anus NOS",9,10,,"Yes","No",2011
"1548","Mal neo rectum/anus NEC",9,10,,"Yes","No",2011
"1550","Mal neo liver, primary",9,8,10,"Yes","Yes",2011
"1551","Mal neo intrahepat ducts",9,8,10,"Yes","Yes",2011
"1552","Malignant neo liver NOS",9,8,10,"Yes","Yes",2011
"1560","Malig neo gallbladder",9,8,11,"Yes","Yes",2011
"1561","Mal neo extrahepat ducts",9,8,11,"Yes","Yes",2011
"1562","Mal neo ampulla of vater",9,8,11,"Yes","Yes",2011
"1568","Malig neo biliary NEC",9,8,11,"Yes","Yes",2011
"1569","Malig neo biliary NOS",9,8,11,"Yes","Yes",2011
"1570","Mal neo pancreas head",9,8,10,"Yes","Yes",2011
"1571","Mal neo pancreas body",9,8,10,"Yes","Yes",2011
"1572","Mal neo pancreas tail",9,8,10,"Yes","Yes",2011
"1573","Mal neo pancreatic duct",9,8,10,"Yes","Yes",2011
"1574","Mal neo islet langerhans",9,8,10,"Yes","Yes",2011
"1578","Malig neo pancreas NEC",9,8,10,"Yes","Yes",2011
"1579","Malig neo pancreas NOS",9,8,10,"Yes","Yes",2011
"1580","Mal neo retroperitoneum",9,8,11,"Yes","Yes",2011
"1588","Mal neo peritoneum NEC",9,8,11,"Yes","Yes",2011
"1589","Mal neo peritoneum NOS",9,8,11,"Yes","Yes",2011
"1590","Malig neo intestine NOS",9,10,,"Yes","No",2011
"1591","Malignant neo spleen NEC",9,10,,"Yes","No",2011
"1598","Mal neo gi/intra-abd NEC",9,10,,"Yes","No",2011
"1599","Mal neo GI tract ill-def",9,10,,"Yes","No",2011
"1600","Mal neo nasal cavities",9,9,,"Yes","No",2011
"1601","Malig neo middle ear",9,9,,"Yes","No",2011
"1602","Mal neo maxillary sinus",9,9,,"Yes","No",2011
"1603","Mal neo ethmoidal sinus",9,9,,"Yes","No",2011
"1604","Malig neo frontal sinus",9,9,,"Yes","No",2011
"1605","Mal neo sphenoid sinus",9,9,,"Yes","No",2011
"1608","Mal neo access sinus NEC",9,9,,"Yes","No",2011
"1609","Mal neo access sinus NOS",9,9,,"Yes","No",2011
"1610","Malignant neo glottis",9,9,,"Yes","No",2011
"1611","Malig neo supraglottis",9,9,,"Yes","No",2011
"1612","Malig neo subglottis",9,9,,"Yes","No",2011
"1613","Mal neo cartilage larynx",9,9,,"Yes","No",2011
"1618","Malignant neo larynx NEC",9,9,,"Yes","No",2011
"1619","Malignant neo larynx NOS",9,9,,"Yes","No",2011
"1620","Malignant neo trachea",9,8,10,"Yes","Yes",2011
"1622","Malig neo main bronchus",9,8,10,"Yes","Yes",2011
"1623","Mal neo upper lobe lung",9,8,10,"Yes","Yes",2011
"1624","Mal neo middle lobe lung",9,8,10,"Yes","Yes",2011
"1625","Mal neo lower lobe lung",9,8,10,"Yes","Yes",2011
"1628","Mal neo bronch/lung NEC",9,8,10,"Yes","Yes",2011
"1629","Mal neo bronch/lung NOS",9,8,10,"Yes","Yes",2011
"1630","Mal neo parietal pleura",9,8,10,"Yes","Yes",2011
"1631","Mal neo visceral pleura",9,8,10,"Yes","Yes",2011
"1638","Malig neopl pleura NEC",9,8,10,"Yes","Yes",2011
"1639","Malig neopl pleura NOS",9,8,10,"Yes","Yes",2011
"1640","Malignant neopl thymus",9,9,,"Yes","No",2011
"1641","Malignant neopl heart",9,9,,"Yes","No",2011
"1642","Mal neo ant mediastinum",9,9,,"Yes","No",2011
"1643","Mal neo post mediastinum",9,9,,"Yes","No",2011
"1648","Mal neo mediastinum NEC",9,9,,"Yes","No",2011
"1649","Mal neo mediastinum NOS",9,9,,"Yes","No",2011
"1650","Mal neo upper resp NOS",9,9,,"Yes","No",2011
"1658","Mal neo thorax/resp NEC",9,9,,"Yes","No",2011
"1659","Mal neo resp system NOS",9,9,,"Yes","No",2011
"1700","Mal neo skull/face bone",9,9,11,"Yes","Yes",2011
"1701","Malignant neo mandible",9,9,11,"Yes","Yes",2011
"1702","Malig neo vertebrae",9,9,11,"Yes","Yes",2011
"1703","Mal neo ribs/stern/clav",9,9,11,"Yes","Yes",2011
"1704","Mal neo long bones arm",9,9,11,"Yes","Yes",2011
"1705","Mal neo bones wrist/hand",9,9,11,"Yes","Yes",2011
"1706","Mal neo pelvic girdle",9,9,11,"Yes","Yes",2011
"1707","Mal neo long bones leg",9,9,11,"Yes","Yes",2011
"1708","Mal neo bones ankle/foot",9,9,11,"Yes","Yes",2011
"1709","Malig neopl bone NOS",9,9,11,"Yes","Yes",2011
"1710","Mal neo soft tissue head",9,9,10,"Yes","Yes",2011
"1712","Mal neo soft tissue arm",9,9,10,"Yes","Yes",2011
"1713","Mal neo soft tissue leg",9,9,10,"Yes","Yes",2011
"1714","Mal neo soft tis thorax",9,9,10,"Yes","Yes",2011
"1715","Mal neo soft tis abdomen",9,9,9,"Yes","Yes",2011
"1716","Mal neo soft tis pelvis",9,9,10,"Yes","Yes",2011
"1717","Mal neopl trunk NOS",9,9,10,"Yes","Yes",2011
"1718","Mal neo soft tissue NEC",9,9,10,"Yes","Yes",2011
"1719","Mal neo soft tissue NOS",9,9,10,"Yes","Yes",2011
"1720","Malig melanoma lip",9,10,,"Yes","No",2011
"1721","Malig melanoma eyelid",9,10,,"Yes","No",2011
"1722","Malig melanoma ear",9,10,,"Yes","No",2011
"1723","Mal melanom face NEC/NOS",9,10,,"Yes","No",2011
"1724","Mal melanoma scalp/neck",9,10,,"Yes","No",2011
"1725","Malig melanoma trunk",9,10,,"Yes","No",2011
"1726","Malig melanoma arm",9,10,,"Yes","No",2011
"1727","Malig melanoma leg",9,10,,"Yes","No",2011
"1728","Malig melanoma skin NEC",9,10,,"Yes","No",2011
"1729","Malig melanoma skin NOS",9,10,,"Yes","No",2011
"1740","Malig neo nipple",9,10,10,"Yes","Yes",2011
"1741","Mal neo breast-central",9,10,10,"Yes","Yes",2011
"1742","Mal neo breast up-inner",9,10,10,"Yes","Yes",2011
"1743","Mal neo breast low-inner",9,10,10,"Yes","Yes",2011
"1744","Mal neo breast up-outer",9,10,10,"Yes","Yes",2011
"1745","Mal neo breast low-outer",9,10,10,"Yes","Yes",2011
"1746","Mal neo breast-axillary",9,10,10,"Yes","Yes",2011
"1748","Malign neopl breast NEC",9,10,10,"Yes","Yes",2011
"1749","Malign neopl breast NOS",9,10,10,"Yes","Yes",2011
"1750","Mal neo male nipple",9,10,10,"Yes","Yes",2011
"1759","Mal neo male breast NEC",9,10,10,"Yes","Yes",2011
"1760","Skin - kaposi's sarcoma",9,9,10,"Yes","Yes",2011
"1761","Sft tisue - kpsi's srcma",9,9,10,"Yes","Yes",2011
"1762","Palate - kpsi's sarcoma",9,9,10,"Yes","Yes",2011
"1763","GI sites - kpsi's srcoma",9,9,10,"Yes","Yes",2011
"1764","Lung - kaposi's sarcoma",9,9,10,"Yes","Yes",2011
"1765","Lym nds - kpsi's sarcoma",9,9,10,"Yes","Yes",2011
"1768","Spf sts - kpsi's sarcoma",9,9,10,"Yes","Yes",2011
"1769","Kaposi's sarcoma NOS",9,9,10,"Yes","Yes",2011
"179","Malig neopl uterus NOS",9,10,,"Yes","No",2011
"1800","Malig neo endocervix",9,10,,"Yes","No",2011
"1801","Malig neo exocervix",9,10,,"Yes","No",2011
"1808","Malig neo cervix NEC",9,10,,"Yes","No",2011
"1809","Mal neo cervix uteri NOS",9,10,,"Yes","No",2011
"181","Malignant neopl placenta",9,9,,"Yes","No",2011
"1820","Malig neo corpus uteri",9,10,,"Yes","No",2011
"1821","Mal neo uterine isthmus",9,10,,"Yes","No",2011
"1828","Mal neo body uterus NEC",9,10,,"Yes","No",2011
"1830","Malign neopl ovary",9,9,,"Yes","No",2011
"1832","Mal neo fallopian tube",9,9,,"Yes","No",2011
"1833","Mal neo broad ligament",9,9,,"Yes","No",2011
"1834","Malig neo parametrium",9,9,,"Yes","No",2011
"1835","Mal neo round ligament",9,9,,"Yes","No",2011
"1838","Mal neo adnexa NEC",9,9,,"Yes","No",2011
"1839","Mal neo adnexa NOS",9,9,,"Yes","No",2011
"1840","Malign neopl vagina",9,10,,"Yes","No",2011
"1841","Mal neo labia majora",9,10,,"Yes","No",2011
"1842","Mal neo labia minora",9,10,,"Yes","No",2011
"1843","Malign neopl clitoris",9,10,,"Yes","No",2011
"1844","Malign neopl vulva NOS",9,10,,"Yes","No",2011
"1848","Mal neo female genit NEC",9,10,,"Yes","No",2011
"1849","Mal neo female genit NOS",9,10,,"Yes","No",2011
"185","Malign neopl prostate",9,10,11,"Yes","Yes",2011
"1860","Mal neo undescend testis",9,10,,"Yes","No",2011
"1869","Malig neo testis NEC",9,10,,"Yes","No",2011
"1871","Malign neopl prepuce",9,10,,"Yes","No",2011
"1872","Malig neo glans penis",9,10,,"Yes","No",2011
"1873","Malig neo penis body",9,10,,"Yes","No",2011
"1874","Malig neo penis NOS",9,10,,"Yes","No",2011
"1875","Malig neo epididymis",9,10,,"Yes","No",2011
"1876","Mal neo spermatic cord",9,10,,"Yes","No",2011
"1877","Malign neopl scrotum",9,10,,"Yes","No",2011
"1878","Mal neo male genital NEC",9,10,,"Yes","No",2011
"1879","Mal neo male genital NOS",9,10,,"Yes","No",2011
"1880","Mal neo bladder-trigone",9,10,,"Yes","No",2011
"1881","Mal neo bladder-dome",9,10,,"Yes","No",2011
"1882","Mal neo bladder-lateral",9,10,,"Yes","No",2011
"1883","Mal neo bladder-anterior",9,10,,"Yes","No",2011
"1884","Mal neo bladder-post",9,10,,"Yes","No",2011
"1885","Mal neo bladder neck",9,10,,"Yes","No",2011
"1886","Mal neo ureteric orifice",9,10,,"Yes","No",2011
"1887","Malig neo urachus",9,10,,"Yes","No",2011
"1888","Malig neo bladder NEC",9,10,,"Yes","No",2011
"1889","Malig neo bladder NOS",9,10,,"Yes","No",2011
"1890","Malig neopl kidney",9,10,10,"Yes","Yes",2011
"1891","Malig neo renal pelvis",9,10,10,"Yes","Yes",2011
"1892","Malign neopl ureter",9,10,,"Yes","No",2011
"1893","Malign neopl urethra",9,10,,"Yes","No",2011
"1894","Mal neo paraurethral",9,10,,"Yes","No",2011
"1898","Mal neo urinary NEC",9,10,,"Yes","No",2011
"1899","Mal neo urinary NOS",9,10,,"Yes","No",2011
"1900","Malign neopl eyeball",9,10,,"Yes","No",2011
"1901","Malign neopl orbit",9,10,,"Yes","No",2011
"1902","Mal neo lacrimal gland",9,10,,"Yes","No",2011
"1903","Mal neo conjunctiva",9,10,,"Yes","No",2011
"1904","Malign neopl cornea",9,10,,"Yes","No",2011
"1905","Malign neopl retina",9,10,,"Yes","No",2011
"1906","Malign neopl choroid",9,10,,"Yes","No",2011
"1907","Mal neo lacrimal duct",9,10,,"Yes","No",2011
"1908","Malign neopl eye NEC",9,10,,"Yes","No",2011
"1909","Malign neopl eye NOS",9,10,,"Yes","No",2011
"1910","Malign neopl cerebrum",9,9,11,"Yes","Yes",2011
"1911","Malig neo frontal lobe",9,9,11,"Yes","Yes",2011
"1912","Mal neo temporal lobe",9,9,11,"Yes","Yes",2011
"1913","Mal neo parietal lobe",9,9,11,"Yes","Yes",2011
"1914","Mal neo occipital lobe",9,9,11,"Yes","Yes",2011
"1915","Mal neo cereb ventricle",9,9,11,"Yes","Yes",2011
"1916","Mal neo cerebellum NOS",9,9,11,"Yes","Yes",2011
"1917","Mal neo brain stem",9,9,11,"Yes","Yes",2011
"1918","Malig neo brain NEC",9,9,11,"Yes","Yes",2011
"1919","Malig neo brain NOS",9,9,11,"Yes","Yes",2011
"1920","Mal neo cranial nerves",9,9,11,"Yes","Yes",2011
"1921","Mal neo cerebral mening",9,9,11,"Yes","Yes",2011
"1922","Mal neo spinal cord",9,9,11,"Yes","Yes",2011
"1923","Mal neo spinal meninges",9,9,11,"Yes","Yes",2011
"1928","Mal neo nervous syst NEC",9,9,11,"Yes","Yes",2011
"1929","Mal neo nervous syst NOS",9,9,11,"Yes","Yes",2011
"193","Malign neopl thyroid",9,10,11,"Yes","Yes",2011
"1940","Malign neopl adrenal",9,9,11,"Yes","Yes",2011
"1941","Malig neo parathyroid",9,10,11,"Yes","Yes",2011
"1943","Malig neo pituitary",9,9,11,"Yes","Yes",2011
"1944","Malign neo pineal gland",9,9,11,"Yes","Yes",2011
"1945","Mal neo carotid body",9,10,11,"Yes","Yes",2011
"1946","Mal neo paraganglia NEC",9,10,11,"Yes","Yes",2011
"1948","Mal neo endocrine NEC",9,10,11,"Yes","Yes",2011
"1949","Mal neo endocrine NOS",9,10,11,"Yes","Yes",2011
"1950","Mal neo head/face/neck",9,10,,"Yes","No",2011
"1951","Malign neopl thorax",9,10,,"Yes","No",2011
"1952","Malig neo abdomen",9,10,,"Yes","No",2011
"1953","Malign neopl pelvis",9,10,,"Yes","No",2011
"1954","Malign neopl arm",9,10,,"Yes","No",2011
"1955","Malign neopl leg",9,10,,"Yes","No",2011
"1958","Malig neo site NEC",9,10,,"Yes","No",2011
"1960","Mal neo lymph-head/neck",9,7,,"Yes","No",2011
"1961","Mal neo lymph-intrathor",9,7,,"Yes","No",2011
"1962","Mal neo lymph intra-abd",9,7,,"Yes","No",2011
"1963","Mal neo lymph-axilla/arm",9,7,11,"Yes","Yes",2011
"1965","Mal neo lymph-inguin/leg",9,7,,"Yes","No",2011
"1966","Mal neo lymph-intrapelv",9,7,,"Yes","No",2011
"1968","Mal neo lymph node-mult",9,7,,"Yes","No",2011
"1969","Mal neo lymph node NOS",9,7,11,"Yes","Yes",2011
"1970","Secondary malig neo lung",9,7,10,"Yes","Yes",2011
"1971","Sec mal neo mediastinum",9,7,10,"Yes","Yes",2011
"1972","Second malig neo pleura",9,7,10,"Yes","Yes",2011
"1973","Sec malig neo resp NEC",9,7,10,"Yes","Yes",2011
"1974","Sec malig neo sm bowel",9,7,10,"Yes","Yes",2011
"1975","Sec malig neo lg bowel",9,7,10,"Yes","Yes",2011
"1976","Sec mal neo peritoneum",9,7,10,"Yes","Yes",2011
"1977","Second malig neo liver",9,7,10,"Yes","Yes",2011
"1978","Sec mal neo GI NEC",9,7,10,"Yes","Yes",2011
"1980","Second malig neo kidney",9,7,11,"Yes","Yes",2011
"1981","Sec malig neo urin NEC",9,7,11,"Yes","Yes",2011
"1982","Secondary malig neo skin",9,7,,"Yes","No",2011
"1983","Sec mal neo brain/spine",9,7,,"Yes","No",2011
"1984","Sec malig neo nerve NEC",9,7,,"Yes","No",2011
"1985","Secondary malig neo bone",9,7,10,"Yes","Yes",2011
"1986","Second malig neo ovary",9,7,11,"Yes","Yes",2011
"1987","Second malig neo adrenal",9,7,11,"Yes","Yes",2011
"19881","Second malig neo breast",9,7,,"Yes","No",2011
"19882","Second malig neo genital",9,7,,"Yes","No",2011
"19889","Secondary malig neo NEC",9,7,11,"Yes","Yes",2011
"1990","Malig neo disseminated",9,7,11,"Yes","Yes",2011
"1991","Malignant neoplasm NOS",9,10,,"Yes","No",2011
"1992","Malig neopl-transp organ",9,10,,"Yes","No",2011
"20000","Retclsrc unsp xtrndl org",9,9,,"Yes","No",2011
"20001","Reticulosarcoma head",9,9,,"Yes","No",2011
"20002","Reticulosarcoma thorax",9,9,,"Yes","No",2011
"20003","Reticulosarcoma abdom",9,9,,"Yes","No",2011
"20004","Reticulosarcoma axilla",9,9,,"Yes","No",2011
"20005","Reticulosarcoma inguin",9,9,,"Yes","No",2011
"20006","Reticulosarcoma pelvic",9,9,,"Yes","No",2011
"20007","Reticulosarcoma spleen",9,9,,"Yes","No",2011
"20008","Reticulosarcoma mult",9,9,,"Yes","No",2011
